Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Лук батун;8154504;БАРИН;2020;*;-;-;-;-;-;садово-огородный;-;
Огурец;9252733;БАРИН;2008;*;гибрид первого поколения;консервный;-;ранний (раннеспелый);партенокарпическое;садово-огородный;-;
Перец сладкий;9811896;БАРИН;2002;;-;-;-;среднеранний;-;защищенный грунт;кубовидная;
Томат;9252867;БАРИН;2009;*;гибрид первого поколения;салатный;-;средний (среднеспелый);детерминантное;садово-огородный;плоскоокруглая;
Мятлик луговой;8756366;БАРИРИС;2014;*;-;газонная трава;-;-;-;-;-;
Лук репчатый;9464099;БАРИТО;2007;3, 10, 11, 12;гибрид первого поколения;-;-;среднеранний;полуострый;товарное производство;округлая;
Томат;7652623;БАРИТО;2024;;гибрид первого поколения;салатный;-;ранний (раннеспелый);индетерминантное;защищенный грунт и садово-огородный;округлая;
Смородина черная;8953045;БАРИТОН;2019;10;-;-;-;ранний (раннеспелый);-;-;-;11059
Томат;9705408;БАРИТОН;2003;;гибрид первого поколения;-;-;-;детерминантное;сад.-огород. для з/грунта;округлая;
Райграс пастбищный;8954078;БАРКАМАЗ;2014;3, 12;-;для газонов и на корм;-;-;-;-;-;
Луговик дернистый;8654281;БАРКАМПСИЯ;2015;*;-;газонная трава;-;-;-;-;-;
Полевица тонкая;8654283;БАРКИНГ;2015;*;-;газонная трава;-;-;-;-;-;
Райграс пастбищный;8654277;БАРКЛАЙ II;2015;*;-;газонная трава;-;-;-;-;-;
Овсяница луговая;8853762;БАРКРИПТО;2015;3;-;-;-;-;-;-;-;
Овсяница красная;8756357;БАРКРОУН;2014;*;-;газонная трава;-;-;-;-;-;
Салат;8355028;БАРЛАХ;2018;*;-;-;-;-;листовой;садово-огородный;-;
Подсолнечник;8558422;БАРЛЕ;2017;5;простой гибрид;-;-;среднепоздний;-;-;-;9774
Ежа сборная;8954079;БАРЛЕГРО;2014;3;-;кормовой;-;-;-;-;-;
Овсяница тростниковая;8756368;БАРЛЕКСАС II;2014;*;-;газонная трава;-;-;-;-;-;
Райграс пастбищный;8756367;БАРЛЕННИУМ;2014;*;-;газонная трава;-;-;-;-;-;
Райграс пастбищный;8457867;БАРЛИБРО;2018;*;-;газонная трава;-;-;-;-;-;
Райграс пастбищный;8457870;БАРЛИКУМ;2017;*;-;газонная трава;-;-;-;-;-;
Овсяница красная;8756369;БАРЛИНЕУС;2014;*;-;газонная трава;-;-;-;-;-;
Смородина черная;9553578;БАРМАЛЕЙ;2017;3;-;-;-;средний (среднеспелый);-;-;-;5438
